10:43:42 HTTP Request: HEAD https://huggingface.co/stabilityai/sd-vae-ft-mse/resolve/main/config.json "HTTP/1.1 307 Temporary Redirect"
10:43:42 HTTP Request: HEAD https://huggingface.co/api/resolve-cache/models/stabilityai/sd-vae-ft-mse/31f26fdeee1355a5c34592e401dd41e45d25a493/config.json "HTTP/1.1 200 OK"
10:43:42 HTTP Request: HEAD https://huggingface.co/stabilityai/sd-vae-ft-mse/resolve/31f26fdeee1355a5c34592e401dd41e45d25a493/diffusion_pytorch_model.safetensors.index.json "HTTP/1.1 404 Not Found"
10:43:42 Warning: You are sending unauthenticated requests to the HF Hub. Please set a HF_TOKEN to enable higher rate limits and faster downloads.
13:07:51 [ep32 iter2500] loss=0.5322 latent=1.3523 same=0.2834 diff=0.0000 dist=5.5951 sil=0.0064 smo=0.7468 sync=0.0002 pos=0.7601 neg=0.1744 gan=0.3038 disc=0.2068 fm=0.1428 our=0.3252 d_pos=0.7166 d_neg=0.7676 delta_A=4.8771 dn=4.8771 grad_gen=3.2981 grad_our=0.0321
13:14:50 [ep32 iter2600] loss=0.6034 latent=1.5290 same=0.3612 diff=0.0000 dist=4.9425 sil=0.0066 smo=0.8345 sync=0.0034 pos=0.8486 neg=0.4426 gan=0.2959 disc=0.2000 fm=0.1850 our=0.3423 d_pos=0.6961 d_neg=0.7200 delta_A=4.9573 dn=4.9573 grad_gen=0.7573 grad_our=0.0413
13:17:46 [epoch 32] total=0.6126 latent=1.5437 same=0.4915 diff=0.0004 silence=0.0065 delta_reg=4.3789 smooth=0.6195 sync=0.0281 adv=0.3184 d_loss=0.2053 our=0.3523 dn=4.3765
13:17:46   [best] epoch=32 loss=0.6126
13:20:51 [ep33 iter2700] loss=0.6314 latent=1.6155 same=0.5296 diff=0.0000 dist=3.9072 sil=0.0060 smo=0.5742 sync=0.0005 pos=0.7622 neg=0.2002 gan=0.3245 disc=0.2078 fm=0.2064 our=0.3540 d_pos=0.7316 d_neg=0.7397 delta_A=4.0303 dn=4.0303 grad_gen=1.9238 grad_our=0.0523
13:26:53 [ep33 iter2800] loss=0.7693 latent=2.0034 same=0.5522 diff=0.0000 dist=4.7871 sil=0.0076 smo=0.5623 sync=0.0353 pos=0.4650 neg=0.2244 gan=0.2987 disc=0.1991 fm=0.2439 our=0.3780 d_pos=0.6791 d_neg=0.6566 delta_A=4.4069 dn=4.4069 grad_gen=2.1024 grad_our=0.0646
13:33:10 [ep33 iter2900] loss=0.6379 latent=1.5558 same=0.3967 diff=0.0000 dist=5.8444 sil=0.0070 smo=0.5773 sync=0.0023 pos=0.6889 neg=0.0483 gan=0.3129 disc=0.2049 fm=0.2214 our=0.3501 d_pos=0.7239 d_neg=0.7400 delta_A=5.4448 dn=5.4448 grad_gen=0.6936 grad_our=0.0666
13:40:08 [ep33 iter3000] loss=0.6137 latent=1.5991 same=0.6700 diff=0.0000 dist=3.5007 sil=0.0081 smo=0.5263 sync=0.0037 pos=0.7705 neg=0.3587 gan=0.3447 disc=0.2020 fm=0.1612 our=0.3615 d_pos=0.7552 d_neg=0.7550 delta_A=4.2141 dn=4.2141 grad_gen=8.0636 grad_our=0.0532
13:46:12 [ep33 iter3100] loss=0.5395 latent=1.3549 same=0.3018 diff=0.0000 dist=4.5220 sil=0.0053 smo=0.6188 sync=0.0005 pos=0.6272 neg=0.0871 gan=0.3284 disc=0.1996 fm=0.1547 our=0.3252 d_pos=0.6569 d_neg=0.7054 delta_A=4.4679 dn=4.4679 grad_gen=0.8025 grad_our=0.0550
13:49:45 [ep33 iter3200] loss=0.6089 latent=1.5869 same=0.4550 diff=0.0000 dist=3.3303 sil=0.0064 smo=0.6924 sync=0.0065 pos=0.6696 neg=0.3102 gan=0.3647 disc=0.1970 fm=0.1809 our=0.3183 d_pos=0.6625 d_neg=0.7218 delta_A=4.1352 dn=4.1352 grad_gen=0.7378 grad_our=0.0939
13:53:04 [ep33 iter3300] loss=0.5140 latent=1.3066 same=0.2977 diff=0.0000 dist=5.2601 sil=0.0069 smo=0.6293 sync=0.0009 pos=0.7546 neg=0.1999 gan=0.3180 disc=0.2037 fm=0.1300 our=0.3484 d_pos=0.7243 d_neg=0.7383 delta_A=4.3495 dn=4.3495 grad_gen=3.9710 grad_our=0.0605
13:56:52 [ep33 iter3400] loss=0.4762 latent=1.2099 same=0.3287 diff=0.0000 dist=4.8068 sil=0.0055 smo=0.5623 sync=0.0000 pos=0.8312 neg=0.0627 gan=0.3067 disc=0.2064 fm=0.1259 our=0.2552 d_pos=0.6430 d_neg=0.8036 delta_A=4.5701 dn=4.5701 grad_gen=1.6813 grad_our=0.0951
14:01:01 [ep33 iter3500] loss=0.5704 latent=1.3875 same=0.4094 diff=0.0000 dist=5.5108 sil=0.0059 smo=0.7573 sync=0.0001 pos=0.9073 neg=0.2049 gan=0.2824 disc=0.1989 fm=0.1980 our=0.3476 d_pos=0.7392 d_neg=0.7597 delta_A=4.2666 dn=4.2666 grad_gen=1.6709 grad_our=0.1240
