nohup: ignoring input
/home/jiweon/.conda/envs/adlip/lib/python3.10/site-packages/huggingface_hub/utils/_validators.py:205: UserWarning: The `local_dir_use_symlinks` argument is deprecated and ignored in `hf_hub_download`. Downloading to a local directory does not use symlinks anymore.
  warnings.warn(
Warning: You are sending unauthenticated requests to the HF Hub. Please set a HF_TOKEN to enable higher rate limits and faster downloads.
latent: torch.Size([1, 4, 12, 12])
Loaded checkpoint: /home/jiweon/projects/ADLip2/results/batch2_alpha0.35_sync0.15_20260502_214513/best.pt
LatentSync loaded & frozen: /home/ihjung/MuseTalk/models/syncnet/latentsync_syncnet.pt
Our SyncNetTemporal loaded & frozen: /home/jiweon/projects/lip-sync-score/logs/syncnet_hdtf/checkpoints/best.pth
/home/jiweon/projects/ADLip2/train.py:417: FutureWarning: `torch.cuda.amp.GradScaler(args...)` is deprecated. Please use `torch.amp.GradScaler('cuda', args...)` instead.
  scaler = GradScaler()
train videos=317 samples=15850
val videos=39 samples=1950
  samples saved: epoch 0
/home/jiweon/projects/ADLip2/train.py:498: FutureWarning: `torch.cuda.amp.autocast(args...)` is deprecated. Please use `torch.amp.autocast('cuda', args...)` instead.
  with autocast():
[DEBUG our input] z_out_A= torch.Size([2, 16, 4, 12, 12]) z_out_scaled std= 4.169476509094238 z_gt std= 4.16947603225708 mel_pos= torch.Size([2, 80, 52])
[ep1 iter2600] loss=0.9428 latent=1.5349 same=0.7055 diff=0.0000 diff_dist=3.8315 silence=0.0075 smooth=0.7083 dA=4.4531 dN=4.6367 dZ=0.0075 mouth=0.0000 sync=0.3575 our=1.0334 d_pos=1.4374 d_neg=1.4427 pos=0.2603 neg=0.4178 dn=4.4531
[ep1 iter2700] loss=0.9076 latent=1.5233 same=0.6518 diff=0.0000 diff_dist=3.1288 silence=0.0078 smooth=0.8612 dA=4.3008 dN=4.2812 dZ=0.0078 mouth=0.0000 sync=0.0000 our=1.0572 d_pos=1.4539 d_neg=1.4541 pos=0.5684 neg=0.3346 dn=4.3008
[ep1 iter2800] loss=1.0229 latent=1.7312 same=0.8211 diff=0.0000 diff_dist=3.8016 silence=0.0081 smooth=1.0231 dA=4.9297 dN=4.8281 dZ=0.0081 mouth=0.0000 sync=0.0000 our=0.9922 d_pos=1.4086 d_neg=1.4215 pos=0.4073 neg=0.0599 dn=4.9297
[ep1 iter2900] loss=0.8517 latent=1.4181 same=0.6860 diff=0.0000 diff_dist=2.9997 silence=0.0060 smooth=0.7693 dA=4.4531 dN=4.6016 dZ=0.0060 mouth=0.0000 sync=0.0000 our=1.0375 d_pos=1.4405 d_neg=1.4388 pos=0.7621 neg=0.0314 dn=4.4531
[ep1 iter3000] loss=0.9821 latent=1.6871 same=0.6471 diff=0.0000 diff_dist=4.1358 silence=0.0054 smooth=0.7399 dA=4.5938 dN=4.5039 dZ=0.0054 mouth=0.0000 sync=0.0000 our=1.0058 d_pos=1.4182 d_neg=1.4128 pos=0.5718 neg=0.1932 dn=4.5938
[ep1 iter3100] loss=0.7261 latent=1.1705 same=0.5198 diff=0.0000 diff_dist=3.5907 silence=0.0098 smooth=0.6685 dA=4.8594 dN=4.6797 dZ=0.0098 mouth=0.0000 sync=0.0000 our=1.0760 d_pos=1.4670 d_neg=1.4754 pos=0.4985 neg=0.1516 dn=4.8594
[ep1 iter3200] loss=0.8387 latent=1.3981 same=0.5800 diff=0.0000 diff_dist=2.6510 silence=0.0075 smooth=0.7886 dA=4.3984 dN=4.3945 dZ=0.0075 mouth=0.0000 sync=0.0000 our=1.0169 d_pos=1.4261 d_neg=1.4319 pos=0.4446 neg=0.0481 dn=4.3984
[ep1 iter3300] loss=0.8510 latent=1.3814 same=0.5973 diff=0.0000 diff_dist=3.2203 silence=0.0076 smooth=1.1085 dA=4.6016 dN=4.8477 dZ=0.0076 mouth=0.0000 sync=0.0000 our=1.0596 d_pos=1.4557 d_neg=1.4580 pos=0.5575 neg=0.1523 dn=4.6016
[ep1 iter3400] loss=0.8019 latent=1.3083 same=0.4680 diff=0.0000 diff_dist=4.4290 silence=0.0072 smooth=0.9011 dA=4.5938 dN=4.9023 dZ=0.0072 mouth=0.0000 sync=0.0000 our=1.0302 d_pos=1.4350 d_neg=1.4344 pos=0.4877 neg=0.0399 dn=4.5938
[ep1 iter3500] loss=0.8401 latent=1.3762 same=0.5282 diff=0.0000 diff_dist=5.0605 silence=0.0054 smooth=0.7677 dA=4.5469 dN=4.8672 dZ=0.0054 mouth=0.0000 sync=0.1218 our=1.0210 d_pos=1.4289 d_neg=1.4204 pos=0.2398 neg=0.1616 dn=4.5469
