nohup: ignoring input
/home/jiweon/.conda/envs/adlip/lib/python3.10/site-packages/huggingface_hub/utils/_validators.py:205: UserWarning: The `local_dir_use_symlinks` argument is deprecated and ignored in `hf_hub_download`. Downloading to a local directory does not use symlinks anymore.
  warnings.warn(
Warning: You are sending unauthenticated requests to the HF Hub. Please set a HF_TOKEN to enable higher rate limits and faster downloads.
latent: torch.Size([1, 4, 12, 12])
Loaded checkpoint: /home/jiweon/projects/ADLip2/results/no_lambdamouthL/best.pt
Our SyncNetTemporal loaded & frozen: /home/jiweon/projects/lip-sync-score/logs/expN11/checkpoints/best.pth
/home/jiweon/projects/ADLip2/train.py:416: FutureWarning: `torch.cuda.amp.GradScaler(args...)` is deprecated. Please use `torch.amp.GradScaler('cuda', args...)` instead.
  scaler = GradScaler()
train videos=317 samples=31700
val videos=39 samples=3900
  samples saved: epoch 0
/home/jiweon/projects/ADLip2/train.py:497: FutureWarning: `torch.cuda.amp.autocast(args...)` is deprecated. Please use `torch.amp.autocast('cuda', args...)` instead.
  with autocast():
[DEBUG our input] pred_A_imgs= torch.Size([2, 16, 3, 96, 96]) mel_pos= torch.Size([2, 1, 80, 52]) mel_neg= torch.Size([2, 1, 80, 52])
[ep1 iter4500] loss=0.4943 latent=1.5482 same=0.6555 diff=0.0000 diff_dist=2.4978 silence=0.0080 smooth=0.7041 dA=3.1895 dN=3.3418 dZ=0.0080 mouth=0.0000 sync=0.0000 our=0.8645 d_pos=1.3149 d_neg=1.3146 pos=0.0000 neg=0.0000 dn=3.1895
[ep1 iter4600] loss=0.4653 latent=1.4175 same=0.6196 diff=0.0000 diff_dist=3.7061 silence=0.0088 smooth=0.6447 dA=3.4648 dN=3.6113 dZ=0.0088 mouth=0.0000 sync=0.0000 our=0.8628 d_pos=1.3136 d_neg=1.3144 pos=0.0000 neg=0.0000 dn=3.4648
[ep1 iter4700] loss=0.4785 latent=1.5049 same=0.8601 diff=0.0000 diff_dist=2.6717 silence=0.0087 smooth=0.4881 dA=3.5254 dN=3.5254 dZ=0.0087 mouth=0.0000 sync=0.0000 our=0.8736 d_pos=1.3218 d_neg=1.3223 pos=0.0000 neg=0.0000 dn=3.5254
[ep1 iter4800] loss=0.5001 latent=1.5488 same=0.7206 diff=0.0000 diff_dist=2.7395 silence=0.0085 smooth=0.7011 dA=3.4629 dN=3.3613 dZ=0.0085 mouth=0.0000 sync=0.0000 our=0.8966 d_pos=1.3390 d_neg=1.3387 pos=0.0000 neg=0.0000 dn=3.4629
[ep1 iter4900] loss=0.5020 latent=1.5601 same=0.6987 diff=0.0000 diff_dist=3.5354 silence=0.0085 smooth=0.6823 dA=3.5137 dN=3.5078 dZ=0.0085 mouth=0.0000 sync=0.0000 our=0.8964 d_pos=1.3389 d_neg=1.3396 pos=0.0000 neg=0.0000 dn=3.5137
[ep1 iter5000] loss=0.5515 latent=1.8235 same=0.8211 diff=0.0000 diff_dist=2.5653 silence=0.0119 smooth=0.6781 dA=3.2520 dN=3.1113 dZ=0.0119 mouth=0.0000 sync=0.0000 our=0.8845 d_pos=1.3300 d_neg=1.3293 pos=0.0000 neg=0.0000 dn=3.2520
[ep1 iter5100] loss=0.4464 latent=1.3151 same=0.5341 diff=0.0000 diff_dist=2.5967 silence=0.0084 smooth=0.6243 dA=3.9277 dN=3.8223 dZ=0.0084 mouth=0.0000 sync=0.0000 our=0.8671 d_pos=1.3169 d_neg=1.3161 pos=0.0000 neg=0.0000 dn=3.9277
[ep1 iter5200] loss=0.4705 latent=1.4752 same=0.7495 diff=0.0000 diff_dist=1.4095 silence=0.0077 smooth=0.4136 dA=3.2812 dN=3.1504 dZ=0.0077 mouth=0.0000 sync=0.0000 our=0.8975 d_pos=1.3397 d_neg=1.3408 pos=0.0000 neg=0.0000 dn=3.2812
[ep1 iter5300] loss=0.4479 latent=1.3100 same=0.6373 diff=0.0000 diff_dist=2.4426 silence=0.0078 smooth=0.5965 dA=3.1816 dN=3.3906 dZ=0.0078 mouth=0.0000 sync=0.0000 our=0.9107 d_pos=1.3496 d_neg=1.3493 pos=0.0000 neg=0.0000 dn=3.1816
[ep1 iter5400] loss=0.4708 latent=1.4455 same=0.7135 diff=0.0000 diff_dist=1.5411 silence=0.0089 smooth=0.5747 dA=3.1406 dN=3.0801 dZ=0.0089 mouth=0.0000 sync=0.0000 our=0.8905 d_pos=1.3344 d_neg=1.3352 pos=0.0000 neg=0.0000 dn=3.1406
[ep1 iter5500] loss=0.4928 latent=1.5568 same=0.6543 diff=0.0000 diff_dist=2.7964 silence=0.0084 smooth=0.6036 dA=3.4219 dN=3.5957 dZ=0.0084 mouth=0.0000 sync=0.0000 our=0.8721 d_pos=1.3206 d_neg=1.3203 pos=0.0000 neg=0.0000 dn=3.4219
[ep1 iter5600] loss=0.5002 latent=1.5577 same=0.6561 diff=0.0000 diff_dist=4.0929 silence=0.0096 smooth=0.6381 dA=3.6836 dN=3.7344 dZ=0.0096 mouth=0.0000 sync=0.0000 our=0.8976 d_pos=1.3396 d_neg=1.3431 pos=0.0000 neg=0.0000 dn=3.6836
[ep1 iter5700] loss=0.4838 latent=1.5015 same=0.6792 diff=0.0000 diff_dist=2.6166 silence=0.0076 smooth=0.4785 dA=3.4902 dN=3.3848 dZ=0.0076 mouth=0.0000 sync=0.0000 our=0.9229 d_pos=1.3582 d_neg=1.3611 pos=0.0000 neg=0.0000 dn=3.4902
[ep1 iter5800] loss=0.4611 latent=1.4155 same=0.6332 diff=0.0000 diff_dist=3.0986 silence=0.0073 smooth=0.5438 dA=3.3711 dN=3.6875 dZ=0.0073 mouth=0.0000 sync=0.0000 our=0.8732 d_pos=1.3215 d_neg=1.3204 pos=0.0000 neg=0.0000 dn=3.3711
